"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C01_004E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C02_015E"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population"
"9700000US0101020","Cullman County School District, Alabama","25116","1379","70.4","5.5","14.1","2.6","3.9","7.4","2.4","1.5","1.0","16.6","2.5","19130","1385","20.4","5.5","35.6","5.5","32.1","5.9","7.4","3.2","2.9","1.7","1.5","1.4","63168","3508","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23.8","(X)","20.9","(X)","18.6","(X)","51759","3614","55694","4684","19113","14406","15458","1296","8612","1436","N","N","16469","3885","60229","4734","34107","12802","48940","5992","82674","36.9","8515","66585","15145","108442","11195","79486","18889","1364","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20782"
"9700000US0100007","Hoover City School District, Alabama","32872","1863","83.8","3.3","30.0","4.2","3.1","2.0","1.0","0.6","0.5","15.4","3.0","22587","1075","N","N","N","N","N","N","N","N","N","N","N","N","82810","1128","70.5","4.2","20.1","3.9","0.7","0.9","4.9","1.8","0.0","0.2","2.3","1.8","1.5","0.9","4.9","2.5","68.4","4.6","33.3","(X)","30.4","(X)","26.3","(X)","93044","7009","91307","8799","13798","4185","19335","1370","8679","2421","N","N","35737","8473","111598","9065","N","N","N","N","N","24.3","N","N","N","N","N","N","N","2917","43798","4013","25566","4079","N","N","24786","10601","N","N","14115","9738","N","N","7260","4713","44961","4035","(X)","(X)","(X)","(X)","(X)","(X)","38155"
"9700000US0100270","Baldwin County School District, Alabama","70259","2730","72.9","2.7","22.8","2.8","2.7","3.4","1.1","3.2","1.4","22.2","2.6","46918","2725","18.0","3.2","35.8","4.6","32.3","4.2","7.5","2.4","5.5","1.7","0.8","0.8","195540","*****","86.9","0.8","10.3","0.6","0.3","0.2","0.7","0.4","0.0","0.1","0.8","0.8","1.1","0.7","4.6","*****","83.1","0.1","29.2","(X)","30.0","(X)","24.5","(X)","65071","4760","65078","5568","16707","5227","18950","1032","8337","1169","3396","1081","25313","2411","80399","6618","52217","8979","70850","13132","103148","36.3","10877","68753","14263","111872","21362","113621","78411","1626","27618","1927","10570","1903","31416","23544","N","N","N","N","N","N","4482","4105","12619","2598","28329","2003","(X)","(X)","(X)","(X)","(X)","(X)","25389"
"9700000US0100390","Birmingham City School District, Alabama","88847","3120","70.4","2.0","11.2","1.5","2.1","11.0","1.8","3.4","1.1","14.5","1.4","45621","2330","21.6","3.1","41.8","3.3","19.3","3.0","11.8","2.2","2.7","1.1","2.9","1.0","211933","903","23.6","1.8","72.8","1.7","0.1","0.2","0.8","0.3","0.0","0.1","1.8","0.7","0.8","0.4","3.5","1.0","21.7","1.8","34.2","(X)","39.8","(X)","28.7","(X)","43535","2296","45982","2572","19088","10759","14896","801","9078","873","1686","500","17918","2126","49171","3065","25434","4327","39834","4111","85445","30.4","9645","52476","6045","88225","13396","69867","15732","906","33252","3521","15231","876","N","N","40487","8804","N","N","10295","3452","11084","6749","12003","4503","35030","3785","(X)","(X)","(X)","(X)","(X)","(X)","19587"
"9700000US0101230","Dothan City School District, Alabama","26550","903","74.0","2.1","16.1","1.8","2.1","6.9","1.3","1.6","0.6","19.0","1.8","16943","776","19.0","2.4","38.3","3.2","27.5","3.0","7.4","1.5","5.6","1.2","2.1","1.0","67296","389","63.5","2.3","32.2","2.2","0.4","0.2","1.5","0.2","0.0","0.2","0.6","0.6","1.9","0.7","3.8","0.7","61.4","2.2","28.8","(X)","29.5","(X)","23.6","(X)","58241","2793","58758","3354","16563","4672","17088","826","8652","719","1977","771","24153","4577","70477","4023","40369","4676","57882","4559","99187","32.4","11098","62526","9994","115489","13266","103193","44941","1297","29999","1836","13066","903","25377","12133","40311","8633","N","N","9181","8873","10382","6810","11930","3837","30548","1796","(X)","(X)","(X)","(X)","(X)","(X)","24190"
"9700000US0101290","Elmore County School District, Alabama","25898","1413","77.7","3.6","19.8","3.6","2.9","5.2","2.1","1.7","1.2","30.1","3.4","18425","1782","N","N","N","N","N","N","N","N","N","N","N","N","73766","2631","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29.8","(X)","30.0","(X)","21.7","(X)","63702","5833","60004","6722","8413","4292","18337","1378","9709","2107","1310","571","24697","3716","75350","8412","N","N","N","N","N","32.2","N","N","N","N","N","N","N","2324","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23212"
"9700000US0101800","Huntsville City School District, Alabama","74612","2419","73.4","2.4","21.9","2.1","2.2","3.3","0.7","1.8","0.8","23.1","2.1","42031","2040","18.8","2.6","37.0","3.7","26.6","3.1","10.8","2.2","5.6","1.7","1.2","0.8","176792","2659","64.3","2.3","30.3","2.2","0.5","0.3","1.9","0.7","0.1","0.1","1.1","0.6","1.9","0.7","4.7","1.3","61.0","2.1","27.1","(X)","28.9","(X)","21.6","(X)","66651","3644","69196","4258","12805","3605","16195","800","8829","1332","2230","1077","30126","3094","83719","4881","53857","7190","70955","8738","118482","28.3","13006","68211","11960","130398","23043","96662","19038","1503","35189","2195","16538","1393","23112","21607","17262","6500","N","N","18837","6108","25916","10761","15339","3744","36279","2331","(X)","(X)","(X)","(X)","(X)","(X)","28766"
"9700000US0101920","Jefferson County School District, Alabama","85832","3190","74.1","2.3","16.5","1.6","2.3","4.7","1.1","1.6","0.7","25.2","2.6","60402","2887","18.3","2.4","34.9","2.9","27.9","3.1","8.1","1.5","8.6","1.6","2.2","1.0","227769","6422","66.0","2.2","28.6","2.1","0.2","0.2","0.8","0.4","0.0","0.1","2.1","1.2","2.3","1.0","4.1","1.4","64.0","2.0","34.7","(X)","35.8","(X)","28.7","(X)","64625","2759","68101","3403","8174","2840","17418","687","9227","1430","1855","627","20340","2079","73219","3450","37916","4218","57699","6027","93140","35.8","5940","84163","14493","132370","15252","87376","14461","1124","27980","1492","20360","1761","10503","5095","28996","13911","N","N","13872","5739","31853","12376","14144","4839","28380","1422","(X)","(X)","(X)","(X)","(X)","(X)","25554"
"9700000US0102220","Madison County School District, Alabama","48188","1948","85.4","2.5","18.5","2.8","3.2","4.6","1.7","1.0","0.8","22.8","3.2","36803","1654","11.4","2.5","37.0","5.2","34.8","4.3","7.3","2.3","8.2","2.8","1.3","0.8","128223","2659","73.5","3.2","20.1","3.1","0.8","0.6","2.3","1.1","0.0","0.1","0.5","0.6","2.8","0.9","5.3","1.7","69.4","3.0","26.1","(X)","23.8","(X)","20.3","(X)","85545","8358","79816","7121","28156","17433","16435","1305","7187","1274","693","245","29793","4114","92833","10430","73762","35808","86832","22818","108861","25.1","12946","70176","11855","95955","14639","109699","12846","3240","34408","3091","27782","10255","13061","9506","40675","20471","N","N","N","N","8714","3953","14485","4079","35462","3349","(X)","(X)","(X)","(X)","(X)","(X)","32272"
"9700000US0102370","Mobile County School District, Alabama","142098","3101","71.7","1.6","15.5","1.2","1.5","5.8","1.0","2.6","0.6","20.9","1.6","97168","3487","20.6","1.8","33.8","2.3","26.8","2.2","10.8","1.8","5.5","1.3","2.5","0.7","397632","3025","59.1","0.5","36.2","0.7","0.5","0.2","1.7","0.4","0.0","0.1","0.3","0.2","2.2","0.6","2.6","0.1","57.1","0.5","35.6","(X)","36.0","(X)","27.9","(X)","55569","2042","58826","2285","11170","2980","16556","562","8476","752","2458","676","19636","1692","63695","2744","31054","3274","51951","5626","91600","34.7","4382","64743","7805","110151","12284","83835","14864","736","26209","1114","14069","831","16191","9356","15397","4685","N","N","12178","7378","9144","2933","20405","5944","26321","1111","(X)","(X)","(X)","(X)","(X)","(X)","21171"
"9700000US0102430","Montgomery County School District, Alabama","87593","2271","77.8","2.0","15.1","1.6","2.0","8.4","1.7","2.1","0.8","21.2","1.9","54719","2684","15.0","2.0","37.6","3.5","26.4","3.3","12.9","2.7","6.1","1.7","2.0","1.1","223924","1137","38.2","0.7","56.8","0.4","0.1","0.1","2.2","0.5","0.0","0.1","1.5","0.7","1.2","0.6","3.4","0.1","36.6","0.2","35.6","(X)","41.2","(X)","29.1","(X)","63040","3379","62821","3984","9970","2359","15951","780","8282","907","2575","888","24528","2401","76323","4864","36879","5288","57893","6628","108936","32.5","10098","75404","11500","144170","30618","86459","19645","1320","36932","2904","17707","1076","N","N","30521","9241","N","N","7156","2801","24535","6741","12086","2261","37873","2957","(X)","(X)","(X)","(X)","(X)","(X)","25301"
"9700000US0103030","Shelby County School District, Alabama","63312","1878","82.9","1.5","24.3","2.4","1.6","2.5","0.8","0.5","0.4","19.4","2.0","46193","2317","12.0","1.9","31.1","3.3","41.0","3.5","6.0","1.7","8.5","2.1","1.5","1.0","178999","1288","82.5","1.6","11.7","0.8","0.1","0.2","1.5","0.5","0.0","0.1","2.7","1.1","1.4","0.6","6.6","0.2","78.8","1.0","23.1","(X)","24.4","(X)","18.0","(X)","83371","3667","85184","4059","7462","1869","19460","1133","11523","1538","1777","1193","26169","4720","96696","4779","48721","7320","80959","11057","119036","24.2","9119","96743","19612","116460","15066","83275","21886","1384","32358","1706","26181","3176","N","N","15401","8329","N","N","11750","6025","13753","7886","13314","5388","33219","1658","(X)","(X)","(X)","(X)","(X)","(X)","30522"
"9700000US0103360","Tuscaloosa City School District, Alabama","32305","1830","75.4","4.0","16.1","3.4","3.2","6.8","2.0","8.3","2.4","17.9","3.4","18786","1485","18.6","4.5","39.3","5.2","27.9","5.3","7.1","2.6","5.2","3.2","1.9","1.3","94207","745","49.4","3.0","45.2","2.7","0.1","0.2","2.7","0.3","0.0","0.2","1.4","2.1","1.1","0.5","2.0","1.6","47.5","3.1","42.6","(X)","46.6","(X)","33.7","(X)","58516","7190","58777","6243","20935","19154","15593","1241","10726","2831","3663","1205","24853","5216","78872","11475","39139","12337","62044","9440","123736","26.3","35035","55592","9941","141770","40737","68959","18762","2405","28530","4438","13833","1532","N","N","19283","12283","N","N","N","N","N","N","N","N","28739","4538","(X)","(X)","(X)","(X)","(X)","(X)","21375"
"9700000US0103390","Tuscaloosa County School District, Alabama","36986","1589","77.2","3.1","14.3","2.4","2.9","4.7","1.6","3.1","1.7","23.2","3.0","27570","1444","17.9","3.7","31.1","5.1","34.8","4.4","6.4","2.6","6.1","2.0","3.7","2.0","106614","745","80.5","2.5","17.6","2.4","0.2","0.2","0.3","0.2","0.0","0.1","0.5","0.7","0.8","0.5","4.3","1.4","76.8","2.5","39.1","(X)","39.0","(X)","33.2","(X)","60873","2814","61551","3363","9997","5171","17559","1115","9911","2508","3586","2133","19134","2721","67998","3715","40951","7019","48347","4499","91999","33.1","6519","60291","11113","114158","20501","76260","15693","1152","23870","1384","16211","2097","N","N","81767","55669","N","N","N","N","14112","8817","10611","3794","24494","1442","(X)","(X)","(X)","(X)","(X)","(X)","22560"
"9700000US0200180","Anchorage School District, Alaska","103445","2136","89.2","1.5","46.3","2.7","1.6","3.4","1.0","6.4","1.5","17.4","1.4","71432","2856","6.3","1.5","29.2","2.9","42.3","3.1","10.7","1.9","9.1","1.7","2.3","0.9","300950","*****","65.5","0.8","5.9","0.5","7.6","0.8","8.2","0.8","2.3","0.1","1.7","0.7","8.8","1.4","8.6","*****","60.4","0.1","25.3","(X)","25.9","(X)","20.6","(X)","99591","3724","93599","3234","11576","4442","16768","1214","9139","1530","4554","913","30459","3377","112538","5319","99747","42458","87820","10442","126739","15.7","6503","105032","16571","141940","9858","118575","38322","1337","43002","1656","30477","8766","21869","3161","23765","3997","13665","2493","28189","12132","22333","2773","27666","4380","44089","1819","(X)","(X)","(X)","(X)","(X)","(X)","36344"
"9700000US0200510","Matanuska-Susitna Borough School District, Alaska","30272","818","82.4","2.1","34.9","3.1","1.6","5.3","1.4","6.3","1.2","22.6","2.2","21532","990","10.2","1.8","32.9","3.2","37.4","3.7","6.9","1.8","9.3","2.3","3.3","1.3","95192","*****","83.5","0.7","1.1","0.4","4.9","0.9","1.3","0.2","0.1","0.1","1.3","1.0","7.9","1.0","4.5","*****","80.9","0.2","37.0","(X)","36.5","(X)","29.8","(X)","83845","3968","83253","4705","6923","1565","16382","1379","11230","1995","3377","738","25586","2969","95585","4859","54983","9635","76357","6835","115614","21.9","9844","85251","7744","127061","14142","119325","23416","1223","31263","1353","21891","7443","18991","4154","10844","4283","N","N","20004","13390","13096","3243","17247","3662","31671","1424","(X)","(X)","(X)","(X)","(X)","(X)","28714"
"9700000US0200600","Fairbanks North Star Borough School District, Alaska","34056","1790","86.5","3.0","39.9","5.3","3.7","5.1","2.6","7.6","3.3","22.9","3.6","18462","1760","N","N","N","N","N","N","N","N","N","N","N","N","100436","*****","77.6","1.1","3.9","1.2","6.8","2.0","3.4","0.6","0.2","0.2","0.2","0.2","7.9","2.1","7.7","*****","71.6","0.1","24.6","(X)","28.9","(X)","22.3","(X)","82347","7269","77814","7590","7155","2169","11717","1634","6460","2786","2414","628","32012","5370","106617","11515","N","N","N","N","N","21.2","N","N","N","N","N","N","N","2441","33315","2196","25069","10209","25036","22214","23376","5777","N","N","N","N","17657","5434","20049","4722","34545","2376","(X)","(X)","(X)","(X)","(X)","(X)","30872"
"9700000US0400295","Kingman Unified School District, Arizona","25099","2152","58.4","5.3","16.1","4.0","5.0","4.1","1.7","3.4","2.0","25.0","4.5","14624","1754","N","N","N","N","N","N","N","N","N","N","N","N","65118","4080","87.1","3.5","1.5","1.3","3.0","1.7","1.3","0.6","0.1","0.2","2.4","1.4","4.6","1.9","12.3","2.9","79.3","4.0","39.8","(X)","40.5","(X)","28.3","(X)","48354","7916","46924","6946","N","N","18439","1204","7458","1433","1701","380","18970","5450","62253","12279","N","N","N","N","N","54.1","N","N","N","N","N","N","N","3408","20733","3801","2483","2979","12740","3711","18070","5609","N","N","7923","7311","5080","3450","12491","5779","21188","3996","(X)","(X)","(X)","(X)","(X)","(X)","19171"
"9700000US0400680","Amphitheater Unified District, Arizona","58369","2434","69.2","3.2","28.3","2.4","3.0","3.1","1.2","1.5","0.6","24.8","2.3","32011","2050","21.6","3.8","33.5","4.4","29.0","3.5","9.0","2.7","5.6","2.1","1.3","1.4","130991","6425","79.2","2.5","2.5","1.3","0.7","0.5","4.2","1.3","0.1","0.1","9.6","2.4","3.8","1.2","23.0","3.2","66.8","3.2","27.4","(X)","27.1","(X)","21.5","(X)","67577","5549","65858","6110","19740","6581","19010","916","9397","2012","4870","1678","31176","3404","87552","8755","52233","7878","97703","22385","102374","38.0","8557","67217","13352","119416","22935","87385","45961","2683","35060","3049","11919","6996","N","N","19669","7914","N","N","12103","3372","15617","8414","15615","3366","38226","3201","(X)","(X)","(X)","(X)","(X)","(X)","30839"
