"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","31346","1780","82.0","3.0","30.9","4.0","25.0","3.2","2.3","1.4","0.1","0.2","18.2","2.6","20832","1331","N","N","N","N","N","N","N","N","N","N","N","N","82487","2595","74.6","4.4","15.0","3.9","0.0","0.2","5.5","1.5","0.1","0.2","3.5","2.7","1.4","0.8","5.4","2.6","72.6","4.5","23.4","(X)","21.9","(X)","16.8","(X)","95782","6748","96656","7801","16588","5225","19503","1403","7615","2886","N","N","25142","5032","117589","8393","N","N","N","N","N","N","N","N","N","N","N","N","37322","2839","41874","3532","22081","4163","N","N","35860","13162","N","N","7136","5450","N","N","10785","5588","42559","3629","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","77978","3040","73.4","2.1","18.6","2.4","36.1","2.3","3.9","1.2","1.0","0.4","24.2","2.3","56774","2773","20.5","2.5","30.7","3.6","31.3","3.9","9.0","2.2","7.3","1.9","1.2","0.8","190790","*****","86.3","0.9","8.8","1.0","0.5","0.5","0.8","0.1","0.0","0.1","1.0","0.8","2.6","1.1","4.6","*****","83.1","0.1","26.2","(X)","27.5","(X)","19.2","(X)","62801","2728","62094","3652","12120","3458","18896","903","10319","2618","2899","1821","26123","2406","72330","3618","49771","5697","61880","8927","94824","7904","54656","8329","107359","11184","56537","13294","25572","1116","27556","1230","11726","2323","38589","12058","N","N","N","N","10926","6237","8812","7458","14953","1807","27919","1264","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","88192","3684","70.6","2.1","8.9","1.2","29.0","1.9","10.0","1.5","2.7","0.7","14.5","1.5","47133","1884","20.5","2.7","42.5","3.5","19.5","2.6","11.7","2.5","3.0","1.1","2.9","1.3","212835","1168","22.4","1.6","73.5","1.6","0.1","0.1","1.3","0.6","0.1","0.1","1.4","0.8","1.3","0.5","4.7","1.2","19.7","1.4","35.1","(X)","40.4","(X)","29.5","(X)","43048","2504","46431","2663","19963","9033","14022","634","8480","735","2194","832","16819","1479","49169","2789","22607","2950","36759","3199","91297","7165","50321","4800","107915","25408","70611","9135","18768","1135","30435","4217","15260","879","N","N","16743","8348","N","N","14646","6567","21848","6074","14387","3701","32874","4440","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","25632","1404","74.5","3.6","14.2","3.3","41.1","3.6","5.5","1.8","2.5","1.4","22.2","3.0","17947","1463","N","N","N","N","N","N","N","N","N","N","N","N","64953","3152","96.6","0.6","0.8","0.4","0.1","0.2","0.6","0.5","0.1","0.1","0.3","0.4","1.4","0.7","4.3","1.2","92.7","1.3","27.8","(X)","32.2","(X)","20.4","(X)","49168","3834","46813","4544","13673","9779","16207","1381","10401","1912","2465","864","18237","2675","57899","4965","N","N","N","N","N","N","N","N","N","N","N","N","20278","1552","20497","1580","8698","3948","N","N","25173","13447","N","N","N","N","9106","4180","5762","3734","21205","1682","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25231","1080","74.6","1.9","16.1","1.7","33.2","2.0","6.1","1.0","1.4","0.4","18.8","2.0","16780","946","16.5","2.3","37.6","3.4","31.1","3.5","8.9","2.5","3.5","1.0","2.3","0.9","68104","974","62.3","1.7","34.3","1.5","0.1","0.1","1.0","0.3","0.0","0.2","0.6","0.5","1.7","0.6","2.8","1.0","60.1","1.5","29.1","(X)","29.4","(X)","23.0","(X)","64223","4472","66006","5427","21718","9247","15893","548","8592","875","2333","952","22182","2230","77721","6087","47220","13172","60141","7744","113681","9290","59332","14195","145587","29278","66370","13757","25299","1695","32134","2353","13135","1955","N","N","30567","20384","N","N","13334","4705","20956","8719","21490","6710","32458","2454","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","25044","1429","80.3","3.3","13.8","2.8","27.7","3.0","4.7","1.9","0.8","0.7","22.2","3.3","18163","1454","N","N","N","N","N","N","N","N","N","N","N","N","71586","2190","76.9","2.0","20.0","2.3","0.4","0.3","0.5","0.4","0.0","0.2","0.3","0.5","2.0","1.2","2.5","0.8","74.6","1.9","21.7","(X)","22.3","(X)","17.3","(X)","60455","3981","59352","4183","4825","1326","16809","1196","7960","1278","2150","783","20560","2792","66793","4832","N","N","N","N","N","N","N","N","N","N","N","N","22011","1544","24107","1573","16192","3709","N","N","N","N","N","N","N","N","2728","1977","9068","6455","24611","1572","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","70499","2350","76.7","2.2","21.5","1.9","26.9","2.1","3.6","0.9","2.5","0.7","19.7","2.0","40689","2021","16.8","2.4","37.3","3.9","28.9","3.3","9.1","2.3","5.0","1.2","2.9","1.2","170579","3432","62.5","2.3","31.2","2.2","0.3","0.2","2.2","0.7","0.1","0.1","0.9","0.6","2.7","0.7","5.6","1.1","58.5","2.1","26.9","(X)","28.9","(X)","23.2","(X)","69456","4082","70301","4610","17303","9052","16599","1044","8652","1450","1434","433","29735","2567","88349","6430","56314","6492","70579","11638","119319","9931","92350","37059","152429","39276","71889","21947","29619","1687","38016","2385","15181","1412","26897","11603","20270","7916","N","N","8426","4360","17919","7904","15778","4627","39426","2462","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","88485","3097","73.1","2.4","15.7","1.6","33.4","2.4","4.8","1.1","2.8","1.0","22.7","2.0","60225","2455","18.3","2.2","29.1","2.6","33.0","3.1","11.0","2.0","6.8","1.5","1.8","0.9","225425","5977","66.5","2.1","30.8","2.0","0.4","0.2","0.9","0.5","0.0","0.1","0.9","0.5","0.6","0.3","3.2","1.0","64.5","2.1","34.1","(X)","35.0","(X)","26.3","(X)","59873","2862","63232","3496","13625","7794","17557","615","8502","756","1965","671","17734","1358","70071","3721","42403","9643","53664","4319","93658","6918","68389","7367","101477","9024","77281","28718","24174","1250","26481","1440","19951","2008","28234","25811","11885","5718","N","N","11945","5897","18087","11941","10912","2887","26990","1392","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","49350","2231","81.2","2.9","21.4","2.9","26.3","3.0","3.4","1.3","2.0","1.1","25.2","3.1","35743","2007","11.3","2.5","37.0","5.1","36.4","4.8","6.9","2.3","6.5","2.2","1.9","1.3","131321","3432","75.1","3.1","19.6","2.8","1.2","0.5","1.7","1.0","0.1","0.1","0.1","0.1","2.2","1.5","2.9","1.3","73.0","3.1","27.1","(X)","24.7","(X)","19.2","(X)","73946","3340","73388","3605","7688","3278","16645","1170","8429","2363","2629","771","24733","3490","84346","4026","48688","6903","68520","6270","104004","7252","80079","19620","129165","16275","90457","21048","28451","1627","30781","1737","22788","3221","12173","4064","23484","14200","N","N","N","N","11140","4683","22245","8689","31125","1790","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102370","Mobile County School District, Alabama","151234","2771","73.6","1.6","14.4","1.3","32.8","1.7","7.5","1.0","2.2","0.6","20.5","1.3","99111","3062","17.3","1.7","38.4","2.8","27.8","2.5","9.9","1.4","5.0","1.1","1.6","0.6","401721","2459","59.9","0.3","35.8","0.5","0.9","0.2","2.0","0.2","0.0","0.1","0.2","0.2","1.2","0.5","2.4","0.3","57.9","0.3","26.3","(X)","28.3","(X)","19.1","(X)","54350","2769","57323","3500","8949","1705","15373","528","7515","667","2319","719","18852","1354","64971","3885","30295","2922","50473","4333","96524","11348","64957","7696","118849","9031","70872","10553","21228","977","25461","1033","13681","818","27375","14714","N","N","N","N","16218","14385","9021","3705","18805","4878","25626","1065","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102430","Montgomery County School District, Alabama","89972","1840","76.0","1.6","14.7","1.5","29.7","1.7","9.5","1.4","2.3","0.8","18.9","1.5","57692","2558","17.1","2.0","39.9","3.2","26.7","2.6","9.6","1.9","5.5","1.3","1.2","0.5","227842","758","39.3","0.5","55.6","0.4","0.0","0.1","2.3","0.3","0.0","0.1","1.4","0.6","1.4","0.4","3.4","0.1","37.1","0.2","30.5","(X)","32.5","(X)","24.3","(X)","58843","3297","58374","3629","16785","7923","15805","777","8861","813","2797","1102","24572","3752","69722","4578","41781","9055","48380","3869","112424","13347","64518","9035","114493","16063","62330","12557","23758","1280","34202","2844","16675","1089","N","N","30437","10351","N","N","11632","2915","14382","8328","12950","3490","35486","3057","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103030","Shelby County School District, Alabama","63917","1677","83.5","1.7","21.2","2.1","26.1","1.4","4.1","1.1","1.3","0.7","14.2","1.4","45875","2137","11.0","1.8","34.5","3.4","35.9","2.9","8.6","2.0","9.8","1.9","0.2","0.2","175316","2711","81.8","1.3","10.8","0.9","0.4","0.3","1.6","0.4","0.0","0.1","3.9","1.0","1.5","0.5","6.3","0.5","79.8","1.1","22.7","(X)","24.6","(X)","17.6","(X)","78899","5936","79362","6881","12432","4387","17575","810","8266","1231","1785","439","24949","7108","90499","8414","N","N","N","N","N","N","N","N","N","N","N","N","29866","2196","32032","2629","22110","3177","25686","10758","38889","12201","N","N","10246","2889","9770","7356","10822","1559","32508","2691","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103360","Tuscaloosa City School District, Alabama","30992","2015","79.5","3.4","16.2","2.9","26.0","3.0","8.3","2.2","5.3","2.4","16.1","3.0","17579","1452","13.0","3.2","40.4","6.2","28.0","6.0","10.0","3.4","4.8","2.5","3.9","2.4","92209","1239","56.8","3.3","40.0","3.2","0.3","0.3","2.1","0.9","0.1","0.1","0.2","0.4","0.6","0.5","4.2","1.8","53.0","3.5","34.5","(X)","38.1","(X)","29.1","(X)","54804","4415","52099","4561","21818","8111","16976","1579","8541","1322","2685","850","21779","3322","70318","7176","44109","12535","58180","13636","102276","13852","56393","15009","90748","18460","64978","27436","20172","1826","25076","2905","13244","1361","N","N","21238","7831","N","N","N","N","8710","7269","10674","3604","26125","2907","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103390","Tuscaloosa County School District, Alabama","36729","1655","73.8","2.6","15.5","2.1","32.3","3.3","6.3","1.9","4.0","1.7","20.5","2.6","27154","1502","20.8","3.3","32.5","4.8","32.3","4.5","6.2","2.3","6.7","2.5","1.6","1.2","106387","1239","75.9","2.8","22.1","2.8","0.1","0.1","1.0","0.7","0.0","0.1","0.1","0.1","0.8","0.6","2.3","1.5","73.8","3.0","31.2","(X)","31.6","(X)","23.2","(X)","59748","4160","62908","4893","14341","7822","16911","1073","8616","1125","3663","1351","17711","2868","67679","4791","36400","7130","51613","6935","89687","5502","95963","43322","104393","17327","93805","40979","21975","1483","24050","1775","15535","2644","N","N","20042","11821","N","N","N","N","7807","5561","8220","3211","24508","1862","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200180","Anchorage School District, Alaska","105569","1780","89.3","1.4","46.0","2.5","18.3","1.5","3.8","1.2","5.9","1.1","16.7","1.7","68717","2536","6.9","1.6","29.6","2.8","39.1","2.6","10.7","2.0","10.8","1.8","2.9","1.0","298610","*****","65.7","0.7","6.3","0.5","6.4","0.8","9.3","0.6","2.0","0.2","1.4","0.5","9.0","1.1","8.2","*****","61.0","0.3","19.4","(X)","20.3","(X)","15.7","(X)","92256","3782","86938","3571","10204","3823","15489","1046","8447","1531","3981","612","27586","2438","105142","4894","50684","8927","67057","7877","132128","8034","101233","18590","150138","12177","107348","23092","34565","1349","41919","1843","26378","4454","24092","4047","19238","3690","14784","4195","17323","4655","16847","2964","21446","2912","43205","2052","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200510","Matanuska-Susitna Borough School District, Alaska","31483","764","82.3","1.7","36.5","2.8","22.7","1.7","5.8","1.3","7.7","1.4","18.1","2.2","23006","1058","12.3","2.2","32.9","3.0","37.6","3.3","7.5","1.4","7.5","1.8","2.2","1.1","93925","*****","85.2","0.3","1.0","0.2","5.6","0.8","1.4","0.5","0.1","0.1","0.3","0.2","6.4","1.0","4.1","*****","81.7","0.1","28.7","(X)","27.2","(X)","21.2","(X)","82680","3440","82052","3893","8149","2509","16383","1165","8654","1448","4548","916","27547","3113","93186","4097","41753","5744","72965","6517","117667","7039","78799","8963","144642","19547","138406","35488","28875","1113","30863","1265","20354","8937","16244","3393","16158","6412","N","N","16667","11407","17141","4003","24326","5090","31058","1277","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200600","Fairbanks North Star Borough School District, Alaska","35944","1523","87.4","2.8","34.4","4.3","17.8","2.6","4.4","2.0","4.5","2.1","19.4","2.8","22091","2084","7.7","2.6","34.0","6.0","38.3","6.8","8.9","3.5","8.5","3.6","2.6","2.2","100272","*****","77.6","1.1","4.9","0.5","6.4","1.5","2.4","0.7","0.5","0.5","0.5","0.6","7.8","1.9","6.8","*****","72.5","0.1","25.7","(X)","31.1","(X)","23.0","(X)","83536","8076","75993","7243","17660","14700","14131","1594","11010","2650","4835","1286","31771","4534","95557","9970","56155","11854","79937","24879","108631","11664","73594","13775","161319","18652","83789","18543","33002","2868","36086","3178","25411","6697","19788","6784","N","N","N","N","N","N","11867","3841","20011","6268","36995","3385","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0400295","Kingman Unified School District, Arizona","25529","2022","60.2","5.0","14.1","4.0","47.6","5.0","8.0","2.7","2.7","1.3","23.6","4.6","14305","1647","N","N","N","N","N","N","N","N","N","N","N","N","73148","3703","82.3","2.3","2.8","1.0","0.8","0.5","0.9","0.6","0.5","0.8","6.4","1.8","6.3","1.6","17.3","2.5","74.1","2.7","28.0","(X)","30.5","(X)","16.3","(X)","42016","4570","42703","6000","15585","10676","16835","1101","9724","1518","2780","2610","18081","3463","49315","7164","N","N","N","N","N","N","N","N","N","N","N","N","14663","1947","16190","2237","N","N","N","N","28780","7543","N","N","561","566","12739","5309","5625","2778","17231","2378","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0400680","Amphitheater Unified District, Arizona","56413","2497","67.9","2.5","24.1","2.3","36.7","2.6","5.4","1.6","2.3","1.0","23.1","2.4","32854","2143","26.0","3.4","36.4","3.7","22.1","3.0","8.2","2.5","5.8","2.0","1.5","0.9","131584","6741","83.2","2.3","3.0","0.9","2.2","1.0","4.9","1.3","0.0","0.1","3.1","1.1","3.6","1.0","22.4","2.7","66.4","3.1","25.8","(X)","26.4","(X)","20.5","(X)","60419","3206","58783","3801","16998","3775","18887","899","10527","1309","2785","659","32526","3923","75656","4951","58743","6078","64049","9598","106282","7947","69773","14598","109450","17897","99961","34257","26758","1665","28089","1841","19193","5660","16582","4043","22653","5724","N","N","16317","3275","23057","9241","17789","3116","30758","1795","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0401870","Chandler Unified District, Arizona","81441","2687","83.7","1.4","22.6","2.1","25.0","1.7","2.0","0.6","1.4","0.6","18.0","2.0","59321","2137","12.7","1.7","34.2","2.9","35.4","2.8","8.8","1.9","7.3","1.6","1.6","0.8","234973","7562","79.2","2.3","5.0","1.5","1.3","0.6","7.3","1.5","0.2","0.2","2.4","0.8","4.5","1.2","21.4","2.4","62.0","2.8","28.8","(X)","28.2","(X)","23.9","(X)","88775","3972","88547","4445","13990","2683","20211","1185","10155","1915","3455","1658","27015","3719","100135","4461","55166","6586","83829","6462","132055","8638","83321","14014","121292","14182","94105","21316","31642","1425","32675","1721","27968","7745","32472","8727","38578","7682","N","N","17708","4069","13298","4320","16947","1575","36972","1946","(X)","(X)","(X)","(X)","(X)","(X)"
