"GEO_ID","NAME","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E"
"id","Geographic Area Name","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income"
"9700000US0100007","Hoover City School District, Alabama","3.4","21674","1115","N","N","N","N","N","N","N","N","N","N","N","N","83448","739","76.7","4.0","14.1","3.6","0.0","0.2","4.1","1.8","0.0","0.2","3.6","2.8","1.5","1.0","6.9","2.9","73.3","3.8","27.9","(X)","29.8","(X)","24.9","(X)","95399","7078","97547","7895","11239","3279","22080","1940","10345","2827","N","N","27554","4973","118077","9361","N","N","N","N","N","N","N","N","N","N","N","N","40693","3113","44914","3431","28987","6130","N","N","31232","8774","N","N","5637","2319","N","N","26329","14639","44791","3534","(X)","(X)","(X)","(X)","(X)","(X)","35024","1753","80.0","3.6","35.7","4.1","30.7","4.3","1.4","0.9","0.5","0.5","19.0"
"9700000US0100270","Baldwin County School District, Alabama","2.7","47040","3419","20.4","3.2","34.4","4.0","29.0","4.0","6.8","2.0","6.7","2.2","2.6","1.6","200111","*****","86.5","0.8","9.8","0.3","0.8","0.5","0.3","0.4","0.0","0.1","0.7","0.7","1.9","0.6","4.6","*****","82.8","0.3","33.1","(X)","33.7","(X)","25.6","(X)","66013","5462","68053","5659","15594","7714","18621","758","10184","3419","1576","782","22317","3400","77737","6385","42652","7193","70528","10354","96770","10918","76084","12772","124138","14110","119560","96107","26721","1863","28685","2055","13776","3176","17899","10923","N","N","N","N","N","N","11099","5909","19675","6084","29089","2142","(X)","(X)","(X)","(X)","(X)","(X)","71307","3086","71.1","2.8","20.8","2.4","38.5","2.7","4.2","1.4","2.7","1.3","23.5"
"9700000US0100390","Birmingham City School District, Alabama","1.5","47561","2103","22.5","2.3","40.7","3.5","16.5","2.9","14.0","2.6","3.8","1.4","2.5","1.1","212653","923","24.3","1.7","72.6","2.0","0.2","0.2","0.8","0.3","0.0","0.1","0.9","0.5","1.2","0.6","3.3","0.9","22.5","1.8","40.1","(X)","43.8","(X)","35.2","(X)","42302","2229","43969","2846","10756","3195","13847","623","8451","594","2347","721","18796","2667","48987","3915","23650","3370","40085","6616","89051","10947","52849","5648","92140","13685","71613","16484","18695","983","27636","2270","15901","1048","N","N","21131","9031","N","N","6979","3932","12184","6131","8246","1634","29144","2412","(X)","(X)","(X)","(X)","(X)","(X)","88556","2920","71.8","1.8","7.1","1.3","33.1","2.0","11.2","1.3","2.4","0.9","17.2"
"9700000US0101020","Cullman County School District, Alabama","3.4","16728","1564","24.9","4.6","33.5","5.5","27.3","5.4","8.6","4.0","4.6","2.0","1.0","1.0","65476","3153","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27.5","(X)","26.6","(X)","19.9","(X)","50631","4647","56851","6379","5578","2267","17152","1133","9811","1562","874","525","20074","5091","59768","5866","32662","6227","47902","5363","90905","14126","67478","16890","85921","17813","93406","50507","19404","1610","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23684","1459","65.4","4.3","13.3","3.0","38.1","4.0","8.2","2.6","1.8","0.9","23.7"
"9700000US0101230","Dothan City School District, Alabama","2.1","16321","706","20.3","2.5","35.9","3.3","31.0","3.1","7.5","1.6","3.9","1.2","1.4","0.6","69400","1142","61.2","1.8","35.7","1.8","0.1","0.1","0.8","0.3","0.0","0.2","0.6","0.4","1.5","0.5","3.0","0.7","59.1","2.0","31.3","(X)","33.3","(X)","25.6","(X)","57856","2764","61068","3618","15216","4282","16588","646","9162","800","2263","794","20535","2188","70627","3460","36623","4391","64556","6556","95761","7743","66939","12381","107525","13776","80637","30313","22920","1054","29517","1562","12154","990","26986","15175","25498","14590","N","N","13781","4755","12060","5616","14440","7308","29980","1522","(X)","(X)","(X)","(X)","(X)","(X)","25760","932","71.0","2.2","16.6","1.9","35.6","2.0","8.1","1.3","1.5","0.6","20.2"
"9700000US0101290","Elmore County School District, Alabama","3.8","18260","1673","N","N","N","N","N","N","N","N","N","N","N","N","74244","1757","74.1","1.4","22.5","1.6","0.3","0.2","0.1","0.1","0.0","0.2","1.5","0.9","1.4","0.7","3.0","0.1","73.1","1.3","30.2","(X)","30.6","(X)","22.6","(X)","66606","4140","67942","5619","6534","3409","16724","1371","9308","1915","1343","1119","23763","4485","75199","5518","N","N","N","N","N","N","N","N","N","N","N","N","24056","1590","26591","2020","15804","3121","N","N","N","N","N","N","35685","43785","13261","6075","30453","15853","26576","2019","(X)","(X)","(X)","(X)","(X)","(X)","25800","1376","74.6","3.8","19.1","3.5","31.7","3.3","6.3","2.4","1.8","1.7","28.7"
"9700000US0101800","Huntsville City School District, Alabama","2.2","45127","2136","15.0","2.4","39.1","3.5","27.3","3.4","12.2","2.7","4.9","1.5","1.5","0.8","180224","2431","61.9","2.2","31.9","2.2","0.3","0.2","2.2","0.6","0.1","0.1","1.1","0.8","2.5","0.9","5.6","0.9","57.7","2.2","29.1","(X)","31.9","(X)","23.0","(X)","70242","5175","68432","5246","21551","14821","16665","871","8090","989","1465","327","30617","2966","88373","8421","54565","8484","77964","18089","116814","10047","71398","23463","159015","19468","88751","13749","30106","2160","37331","3120","17375","1915","25936","16671","28168","14884","N","N","13628","11734","23861","8276","12361","3434","39068","3193","(X)","(X)","(X)","(X)","(X)","(X)","75206","2464","76.8","2.3","20.4","1.8","30.4","1.7","4.9","1.2","1.6","0.7","21.3"
"9700000US0101920","Jefferson County School District, Alabama","2.0","63629","2493","18.7","2.5","34.4","2.9","28.6","3.3","10.4","2.2","5.5","1.2","2.4","0.9","231444","5424","64.0","2.1","30.6","2.1","0.5","0.3","1.1","0.5","0.0","0.1","2.1","0.8","1.8","0.6","2.8","0.9","63.3","2.0","33.7","(X)","32.5","(X)","25.6","(X)","63094","5052","62616","3085","6255","1213","17931","829","10224","1426","3397","2168","31611","18679","71850","6793","58662","31833","52561","4147","95876","4925","62460","7619","122263","18350","89864","16210","25005","1890","28306","2824","19998","1602","15086","7420","23174","10460","N","N","8812","2706","15486","8773","10751","3240","28435","2843","(X)","(X)","(X)","(X)","(X)","(X)","89283","2831","74.8","2.4","15.0","1.8","35.5","2.2","7.0","1.6","2.2","0.9","21.8"
"9700000US0102220","Madison County School District, Alabama","3.0","35926","1689","12.3","2.7","32.8","4.0","38.8","4.3","7.2","1.9","7.9","2.1","1.1","1.0","127678","2433","76.8","3.0","14.7","3.0","0.4","0.4","1.7","0.9","0.0","0.1","0.9","0.5","5.4","1.8","2.5","0.9","74.9","2.9","28.4","(X)","28.7","(X)","21.6","(X)","85166","7000","81356","4332","8035","2529","17597","1437","8232","1999","1206","470","44089","24080","98429","8683","93018","58152","71351","7218","117517","6956","93445","18274","128263","17166","113655","36789","33692","2763","35901","3406","30629","4776","36080","30693","30857","17076","N","N","11310","6350","15171","4662","49768","15313","35410","3442","(X)","(X)","(X)","(X)","(X)","(X)","49421","2013","82.5","3.0","21.8","3.3","27.3","3.2","3.4","1.3","1.2","0.8","22.2"
"9700000US0102370","Mobile County School District, Alabama","1.3","96527","3286","16.5","1.7","39.4","2.9","28.3","2.4","9.4","1.6","4.8","1.0","1.5","0.6","385820","4428","57.4","0.7","36.8","0.7","0.6","0.2","2.2","0.2","0.0","0.1","1.4","0.5","1.5","0.5","2.8","0.2","56.2","0.6","35.5","(X)","39.2","(X)","28.2","(X)","58880","2457","60826","2961","14586","3897","17298","544","8296","750","2394","875","19634","1536","69822","3469","37749","5015","56215","7155","101023","6287","71418","10069","101373","14855","79334","23190","22893","842","27643","1043","16185","1821","31738","12602","19523","5866","N","N","17904","12136","11880","4214","21997","6703","27639","1055","(X)","(X)","(X)","(X)","(X)","(X)","143245","3018","74.9","1.6","14.2","1.3","33.3","1.5","5.6","0.8","1.3","0.4","19.6"
"9700000US0102430","Montgomery County School District, Alabama","1.3","55833","2618","16.2","2.4","38.2","3.2","25.7","2.8","11.1","2.1","6.0","1.3","2.9","1.3","223135","1138","38.1","0.6","57.1","0.6","0.2","0.1","2.6","0.3","0.0","0.1","0.7","0.4","1.3","0.5","3.3","0.1","36.0","0.2","36.4","(X)","40.6","(X)","28.9","(X)","59605","2512","59117","2828","11589","3442","15746","748","7756","797","1761","765","24918","2646","70625","3949","40229","5104","51224","6706","108024","7284","61126","8842","124040","14565","89813","20764","24471","979","34882","1937","17962","1148","53447","10375","23348","7962","N","N","12379","7463","11066","5137","19147","11197","35451","1594","(X)","(X)","(X)","(X)","(X)","(X)","88929","1713","78.1","1.7","16.0","1.6","31.4","2.2","6.7","1.2","1.6","0.6","18.1"
"9700000US0103030","Shelby County School District, Alabama","2.0","38697","1758","11.6","2.0","31.4","3.7","35.6","3.6","11.1","2.8","8.9","2.3","1.6","1.0","148715","1068","79.6","1.8","12.7","1.6","0.0","0.1","2.6","0.6","0.0","0.1","3.3","1.2","1.8","0.6","5.2","1.0","77.9","1.7","29.2","(X)","30.8","(X)","23.0","(X)","79312","3523","81668","4069","7652","1619","19225","1095","8884","1369","1881","552","18757","2254","91883","4327","43889","5876","79594","9626","114320","8255","71852","10404","134789","19417","82035","40089","29830","1482","32505","1615","19262","2962","N","N","24996","11164","N","N","10103","2092","29410","16249","13030","3675","32772","1575","(X)","(X)","(X)","(X)","(X)","(X)","54457","1603","82.9","1.9","21.2","2.5","27.6","2.4","3.4","1.0","1.2","0.8","17.2"
"9700000US0103360","Tuscaloosa City School District, Alabama","2.6","19521","1456","15.3","4.0","41.2","6.0","29.9","5.3","5.9","2.5","5.9","2.8","1.7","1.4","94637","1092","52.3","3.1","43.2","3.0","0.1","0.2","2.5","0.8","0.0","0.2","0.4","0.5","1.5","0.7","2.5","1.5","50.3","3.5","42.4","(X)","44.0","(X)","33.8","(X)","61738","5847","63840","6518","16857","6479","18922","1554","9322","1256","2996","974","20786","4656","78734","9882","39899","12134","74685","16838","103301","20830","61915","27020","110117","30011","44922","27207","22832","2197","29326","3630","15648","2217","N","N","14842","4887","N","N","N","N","5498","3350","N","N","29060","3437","(X)","(X)","(X)","(X)","(X)","(X)","32758","1789","74.3","3.6","17.3","3.0","29.1","3.3","7.9","2.6","4.5","2.0","16.7"
"9700000US0103390","Tuscaloosa County School District, Alabama","2.6","26694","1554","14.6","3.2","34.3","4.4","35.5","4.6","7.4","2.3","6.9","2.2","1.3","0.9","107575","1092","77.0","2.9","20.2","2.5","0.2","0.2","0.6","0.5","0.0","0.1","1.3","1.3","0.7","0.4","4.0","1.3","74.2","3.1","42.3","(X)","44.0","(X)","36.1","(X)","64179","4071","63389","4502","16063","7362","18024","1430","11248","2828","3214","1133","18665","2404","74057","5105","38598","7441","56063","7325","93907","6338","96509","49593","113826","15850","66165","14667","23139","1657","24572","1222","19523","6975","28663","15324","N","N","N","N","N","N","12839","5450","9367","3948","25069","1225","(X)","(X)","(X)","(X)","(X)","(X)","35562","1729","79.2","3.2","14.4","2.4","31.7","2.7","4.6","1.3","3.7","1.8","20.3"
"9700000US0200180","Anchorage School District, Alaska","1.6","70710","2615","8.4","1.9","32.4","2.9","39.2","2.9","9.1","1.4","8.6","1.6","2.3","1.2","301010","*****","64.8","0.9","5.7","0.7","7.0","0.8","9.2","0.6","2.2","0.2","1.7","0.7","9.4","1.4","8.9","*****","59.5","0.1","24.3","(X)","23.6","(X)","20.7","(X)","97014","4226","92599","4370","9458","1743","18019","1025","9098","1474","4966","1219","28744","2777","104576","4510","48789","7864","74413","5837","126785","9078","100300","11452","173873","18387","113554","33429","35442","1486","43588","2235","25632","6264","19410","3026","21795","2719","16249","3400","25294","9715","16953","3156","20658","2870","45766","2331","(X)","(X)","(X)","(X)","(X)","(X)","104683","1844","89.1","1.3","42.2","2.8","16.1","1.2","4.0","1.1","3.8","0.8","17.4"
"9700000US0200510","Matanuska-Susitna Borough School District, Alaska","1.7","21408","892","12.0","2.0","37.1","3.3","35.5","3.3","5.5","1.6","7.8","1.6","1.9","1.0","97882","*****","83.4","0.7","0.7","0.4","5.0","0.8","1.8","0.4","0.2","0.1","0.6","0.6","8.3","1.0","4.7","*****","79.9","0.6","39.0","(X)","39.1","(X)","31.5","(X)","86635","3397","85356","3553","6382","1656","16594","1110","9424","1495","4397","796","25895","2922","98217","4263","48080","8366","79210","7381","122005","6824","102043","20247","140453","15803","155143","46714","30729","1218","33212","1378","23469","9055","20387","4623","26356","15792","15831","10141","8727","8851","15473","2912","23852","3662","33440","1429","(X)","(X)","(X)","(X)","(X)","(X)","30766","689","83.2","1.8","41.1","2.7","24.1","1.9","6.0","1.2","7.2","1.6","19.6"
"9700000US0200600","Fairbanks North Star Borough School District, Alaska","3.0","23679","1871","7.8","3.0","29.6","4.4","45.0","5.2","5.4","2.1","9.5","2.6","2.7","1.9","99357","*****","75.8","1.1","4.6","1.2","5.4","1.7","2.5","0.9","0.6","0.9","1.3","1.0","9.7","2.3","7.7","*****","71.3","0.1","27.7","(X)","28.5","(X)","24.0","(X)","88618","7500","84252","7670","8094","2846","17900","1763","12380","4331","2395","699","27433","4057","102770","10712","61199","16132","56662","8467","122550","21189","116274","25766","161647","29743","166074","43847","33599","2383","38296","3196","16992","7642","20801","4834","23362","6449","N","N","16269","14013","17520","4185","19208","3946","39160","3319","(X)","(X)","(X)","(X)","(X)","(X)","35692","1359","89.0","2.5","42.9","5.0","15.9","2.5","1.5","0.9","4.5","1.7","18.2"
"9700000US0400295","Kingman Unified School District, Arizona","3.7","15424","1469","N","N","N","N","N","N","N","N","N","N","N","N","64545","3678","92.6","2.1","1.1","0.8","1.1","0.7","0.7","0.8","0.0","0.1","1.0","0.6","3.4","1.6","16.4","4.1","77.9","4.0","43.5","(X)","42.0","(X)","36.8","(X)","41404","3350","43597","4656","15204","13111","18000","1267","8493","1601","3353","2039","17948","2576","49129","5580","N","N","N","N","N","N","N","N","N","N","N","N","17953","1556","18536","1697","6212","3853","10310","7850","N","N","N","N","10719","6591","12360","7601","8836","2355","20368","1999","(X)","(X)","(X)","(X)","(X)","(X)","25452","2130","52.6","4.9","16.4","4.1","55.3","5.4","6.3","2.3","2.9","1.4","21.3"
"9700000US0400680","Amphitheater Unified District, Arizona","2.4","33430","1982","23.0","3.1","31.2","3.3","30.6","3.6","9.1","2.2","4.5","1.5","1.6","1.2","135235","6330","78.9","2.9","1.9","0.8","3.2","1.1","4.4","1.7","0.1","0.2","6.1","1.8","5.4","1.5","23.8","2.8","64.6","3.0","29.1","(X)","30.4","(X)","25.2","(X)","72331","5646","66049","4316","35272","13038","19246","915","9126","1733","2833","1266","27602","3215","89260","8187","67424","9837","75290","10752","118333","18467","60575","8652","144053","22042","128656","17697","33449","2684","37050","3232","34293","10063","12130","4153","27291","10625","N","N","20944","4086","11240","4264","20800","3325","39914","3586","(X)","(X)","(X)","(X)","(X)","(X)","61343","2616","70.3","2.6","29.9","2.6","38.0","2.8","4.2","1.2","1.6","0.7","22.0"
